"00","DISPOSITIVO"
"01","ORDENADOR CPU TORRE"
"02","ORDENADOR PORTATIL"
"03","MONITOR  CRT"
"04","MONITOR  PLANO"
"05","IMPRESORA"
"06","SCANNER"
"07","RATON"
"08","TECLADO"
"09","WEBCAM"
"10","ALTAVOZ o MICROFONO"
"11","SMARTPHONE"
"12","TABLET"
"13","ROUTER"
"14","SWITCH"
"15","HUB"
"16","CABLE o ADAPTADOR"
"17","BLUETOOH o INFRARROJOS"
"18","COMPONENTE HARDWARE"
"19","CONSUMIBLE"
